NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeff Adrien, GSW, PF,24,23, 0, 8.5,1.0,2.3, .426, 0.0,0.0,, 1.0, 2.3,.426,.426, 0.5,0.8,.579, 1.0,1.5,2.5,0.4, 0.2, 0.2,0.4,1.2, 2.5
Arron Afflalo, DEN, SG,25,69, 69, 33.7,4.5,9.1, .498, 1.5,3.6,.423, 3.0, 5.5,.546,.581, 2.0,2.4,.847, 0.7,3.0,3.6,2.4, 0.5, 0.4,1.0,2.2, 12.6
Maurice Ager, MIN, SG,26,4, 0, 7.3,1.5,2.8, .545, 0.8,1.0,.750, 0.8, 1.8,.429,.682, 0.0,0.0,, 0.0,0.5,0.5,0.3, 0.3, 0.0,1.0,1.0, 3.8
Alexis Ajinça, TOT, C,22,34, 2, 10.0,1.7,3.9, .444, 0.4,1.0,.353, 1.4, 2.9,.475,.489, 0.4,0.5,.722, 0.5,1.8,2.3,0.3, 0.3, 0.6,0.5,2.1, 4.2
Alexis Ajinça, DAL, C,22,10, 2, 7.5,1.2,3.2, .375, 0.3,0.7,.429, 0.9, 2.5,.360,.422, 0.2,0.3,.667, 0.5,1.2,1.7,0.2, 0.3, 0.5,0.1,1.3, 2.9
Alexis Ajinça, TOR, C,22,24, 0, 11.0,2.0,4.2, .465, 0.4,1.1,.333, 1.6, 3.1,.514,.510, 0.5,0.6,.733, 0.5,2.0,2.5,0.3, 0.3, 0.6,0.7,2.5, 4.8
Solomon Alabi, TOR, C,22,12, 0, 4.9,0.3,1.3, .200, 0.0,0.0,, 0.3, 1.3,.200,.200, 0.0,0.2,.000, 0.6,0.6,1.2,0.2, 0.2, 0.2,0.3,0.4, 0.5
Cole Aldrich, OKC, C,22,18, 0, 7.9,0.4,0.8, .533, 0.0,0.0,, 0.4, 0.8,.533,.533, 0.1,0.2,.500, 0.7,1.2,1.9,0.2, 0.3, 0.4,0.4,1.7, 1.0
LaMarcus Aldridge, POR, PF,25,81, 81, 39.6,8.7,17.5, .500, 0.0,0.3,.174, 8.7, 17.2,.505,.501, 4.3,5.5,.791, 3.4,5.3,8.8,2.1, 1.0, 1.2,1.9,2.7, 21.8
Malik Allen, ORL, PF,32,18, 0, 9.9,0.6,1.7, .355, 0.0,0.0,, 0.6, 1.7,.355,.355, 0.1,0.1,.500, 0.7,1.1,1.8,0.2, 0.1, 0.2,0.2,1.7, 1.3
Ray Allen*, BOS, SG,35,80, 80, 36.1,6.0,12.2, .491, 2.1,4.7,.444, 3.9, 7.5,.520,.577, 2.4,2.7,.881, 0.6,2.8,3.4,2.7, 1.0, 0.2,1.5,1.8, 16.5
Tony Allen, MEM, SG,29,72, 31, 20.8,3.5,6.8, .510, 0.1,0.3,.174, 3.4, 6.5,.527,.514, 1.9,2.5,.753, 1.0,1.7,2.7,1.4, 1.8, 0.6,1.2,2.2, 8.9
Al-Farouq Aminu, LAC, SF,20,81, 14, 17.9,2.0,5.0, .394, 0.6,1.8,.315, 1.4, 3.2,.437,.450, 1.1,1.5,.773, 0.9,2.4,3.3,0.7, 0.7, 0.3,1.3,1.5, 5.6
Lou Amundson, GSW, PF,28,46, 7, 15.0,1.8,4.0, .454, 0.0,0.0,, 1.8, 4.0,.454,.454, 0.7,1.9,.391, 1.8,2.3,4.0,0.4, 0.3, 0.7,0.5,1.9, 4.3
Chris Andersen, DEN, C,32,45, 0, 16.3,1.8,3.0, .599, 0.0,0.0,.000, 1.8, 3.0,.603,.599, 1.9,3.0,.637, 1.7,3.2,4.9,0.4, 0.5, 1.3,0.6,1.8, 5.6
David Andersen, TOT, PF,30,40, 0, 9.3,1.4,3.0, .463, 0.2,0.6,.348, 1.2, 2.5,.490,.496, 0.4,0.6,.636, 0.5,1.6,2.1,0.3, 0.1, 0.2,0.6,1.0, 3.4
David Andersen, TOR, PF,30,11, 0, 13.6,2.1,4.3, .489, 0.3,0.9,.300, 1.8, 3.4,.541,.521, 0.6,0.6,1.000, 0.7,2.4,3.1,0.6, 0.3, 0.3,0.7,1.0, 5.1
David Andersen, NOH, PF,30,29, 0, 7.7,1.1,2.6, .446, 0.2,0.4,.385, 1.0, 2.1,.459,.480, 0.2,0.5,.467, 0.4,1.3,1.7,0.2, 0.1, 0.2,0.5,1.0, 2.7
James Anderson, SAS, SF,21,26, 2, 11.0,1.2,3.1, .383, 0.7,1.8,.391, 0.5, 1.3,.371,.494, 0.5,0.7,.778, 0.1,0.8,0.9,0.7, 0.1, 0.2,0.5,0.9, 3.6
Ryan Anderson, ORL, PF,22,64, 14, 22.3,3.5,8.2, .430, 2.1,5.3,.393, 1.4, 2.9,.500,.558, 1.5,1.8,.812, 2.0,3.5,5.5,0.8, 0.5, 0.6,0.8,2.1, 10.6
Carmelo Anthony, TOT, SF,26,77, 77, 35.7,8.9,19.5, .455, 1.2,3.3,.378, 7.6, 16.3,.470,.487, 6.6,7.9,.838, 1.5,5.8,7.3,2.9, 0.9, 0.6,2.7,2.9, 25.6
Carmelo Anthony, DEN, SF,26,50, 50, 35.5,8.7,19.3, .452, 0.8,2.5,.333, 7.9, 16.8,.470,.474, 6.9,8.3,.823, 1.5,6.1,7.6,2.8, 0.9, 0.6,2.8,2.7, 25.2
Carmelo Anthony, NYK, SF,26,27, 27, 36.2,9.1,19.9, .461, 2.0,4.6,.424, 7.2, 15.2,.472,.510, 6.1,7.0,.872, 1.5,5.2,6.7,3.0, 0.9, 0.6,2.4,3.3, 26.3
Joel Anthony, MIA, C,28,75, 11, 19.5,0.7,1.3, .535, 0.0,0.0,, 0.7, 1.3,.535,.535, 0.6,1.0,.644, 1.4,2.2,3.5,0.3, 0.1, 1.2,0.5,2.6, 2.0
Gilbert Arenas, TOT, PG,29,70, 16, 25.7,3.8,10.5, .366, 1.4,4.7,.297, 2.5, 5.8,.423,.433, 1.7,2.2,.784, 0.3,2.4,2.7,3.9, 1.1, 0.3,2.5,2.7, 10.8
Gilbert Arenas, WAS, PG,29,21, 14, 34.6,6.2,15.7, .394, 2.2,6.9,.324, 4.0, 8.8,.449,.465, 2.7,3.2,.836, 0.3,3.0,3.3,5.6, 1.4, 0.6,3.4,3.6, 17.3
Gilbert Arenas, ORL, PG,29,49, 2, 21.8,2.8,8.2, .344, 1.0,3.7,.275, 1.8, 4.5,.401,.406, 1.3,1.8,.744, 0.3,2.1,2.4,3.2, 0.9, 0.2,2.2,2.3, 8.0
Trevor Ariza, NOH, SF,25,75, 75, 34.7,4.0,10.2, .398, 1.1,3.6,.303, 2.9, 6.5,.450,.451, 1.8,2.6,.701, 0.8,4.6,5.4,2.2, 1.6, 0.4,1.6,2.4, 11.0
Hilton Armstrong, TOT, C,26,53, 2, 9.2,0.7,1.4, .487, 0.0,0.1,.500, 0.7, 1.4,.486,.500, 0.3,0.6,.485, 0.8,1.7,2.5,0.3, 0.3, 0.4,0.5,1.6, 1.7
Hilton Armstrong, WAS, C,26,41, 2, 10.0,0.8,1.6, .484, 0.0,0.1,.333, 0.7, 1.5,.492,.492, 0.3,0.6,.609, 1.0,1.8,2.8,0.2, 0.4, 0.4,0.6,1.8, 1.9
Hilton Armstrong, ATL, C,26,12, 0, 6.3,0.5,1.0, .500, 0.1,0.1,1.000, 0.4, 0.9,.455,.542, 0.2,0.8,.200, 0.3,1.2,1.4,0.3, 0.3, 0.4,0.3,0.8, 1.3
Carlos Arroyo, TOT, PG,31,64, 43, 18.5,1.9,4.3, .440, 0.5,1.1,.449, 1.4, 3.2,.436,.496, 0.6,0.7,.830, 0.3,1.3,1.6,2.0, 0.3, 0.0,0.9,1.1, 4.8
Carlos Arroyo, MIA, PG,31,49, 42, 20.3,2.2,4.9, .458, 0.6,1.3,.438, 1.7, 3.6,.466,.517, 0.6,0.7,.800, 0.3,1.4,1.6,2.0, 0.3, 0.0,0.9,1.2, 5.6
Carlos Arroyo, BOS, PG,31,15, 1, 12.7,0.7,2.3, .314, 0.2,0.3,.600, 0.5, 2.0,.267,.357, 0.7,0.8,.917, 0.5,1.1,1.5,1.7, 0.5, 0.0,1.1,0.7, 2.4
Darrell Arthur, MEM, PF,22,80, 9, 20.1,3.9,7.8, .497, 0.0,0.1,.000, 3.9, 7.7,.502,.497, 1.4,1.7,.813, 1.4,2.8,4.3,0.7, 0.7, 0.8,1.1,2.9, 9.1
Ömer Aşık, CHI, C,24,82, 0, 12.1,1.0,1.7, .553, 0.0,0.0,, 1.0, 1.7,.553,.553, 0.9,1.8,.503, 1.4,2.4,3.7,0.4, 0.2, 0.7,0.8,1.9, 2.8
D.J. Augustin, CHA, PG,23,82, 82, 33.6,4.9,11.7, .416, 1.4,4.1,.333, 3.5, 7.6,.461,.474, 3.3,3.6,.906, 0.5,2.3,2.7,6.1, 0.7, 0.0,1.9,1.9, 14.4
Luke Babbitt, POR, SF,21,24, 0, 5.7,0.6,2.3, .273, 0.1,0.7,.188, 0.5, 1.6,.308,.300, 0.1,0.4,.333, 0.3,1.0,1.3,0.3, 0.1, 0.1,0.3,0.6, 1.5
Renaldo Balkman, TOT, SF,26,8, 0, 7.8,0.8,1.6, .462, 0.1,0.3,.500, 0.6, 1.4,.455,.500, 0.4,0.5,.750, 0.3,0.6,0.9,0.3, 0.5, 0.3,0.1,1.9, 2.0
Renaldo Balkman, DEN, SF,26,5, 0, 8.8,1.0,1.8, .556, 0.0,0.0,, 1.0, 1.8,.556,.556, 0.6,0.8,.750, 0.2,0.6,0.8,0.4, 0.6, 0.4,0.0,2.2, 2.6
Renaldo Balkman, NYK, SF,26,3, 0, 6.0,0.3,1.3, .250, 0.3,0.7,.500, 0.0, 0.7,.000,.375, 0.0,0.0,, 0.3,0.7,1.0,0.0, 0.3, 0.0,0.3,1.3, 1.0
Marcus Banks, TOR, PG,29,3, 0, 7.3,0.0,0.7, .000, 0.0,0.0,, 0.0, 0.7,.000,.000, 2.0,2.7,.750, 0.0,0.3,0.3,1.0, 0.3, 0.0,0.7,1.3, 2.0
Leandro Barbosa, TOR, SG,28,58, 0, 24.1,5.1,11.3, .450, 1.2,3.7,.338, 3.8, 7.6,.505,.505, 1.9,2.4,.796, 0.2,1.5,1.7,2.1, 0.9, 0.1,1.4,1.9, 13.3
